FAMILLE;SOUS-FAMILLE;REFERENCE;DESIGNATION_ARTICLE;CONDITIONNEMENT;UNITE;IMAGE;PRIX;ORIGINE
TRAITEUR;Pizzas;6480;"VIVAGEL PIZZA BOLOGNAISE 320G";6.00;PCE;https://i.postimg.cc/0Nx2wkHF/6480.png;1830.00;FRANCE
TRAITEUR;Pizzas;6482;"VIVAGEL PIZZA ROYALE 320G";6.00;PCE;https://i.postimg.cc/Prgqdzbt/6482.jpg;1830.00;FRANCE
TRAITEUR;"Plats Cuisinés";3280;"THIRIET ANDOUILLETTES DE TROYES 500G";9.00;PCE;https://i.postimg.cc/28wXdJcg/3280.png;7230.00;FRANCE
