FAMILLE;SOUS-FAMILLE;REFERENCE;DESIGNATION_ARTICLE;CONDITIONNEMENT;UNITE;IMAGE;PRIX;ORIGINE
TRAITEUR;Apéritifs;6441;"NEM POULET X16";20.00;PCE;https://i.postimg.cc/Pr3myckS/6441.png;1880.00;"COTE D'IVOIRE"
TRAITEUR;Apéritifs;6443;"NEM BOEUF X16";20.00;PCE;https://i.postimg.cc/RZWwDRS4/6443.png;1880.00;"COTE D'IVOIRE"
TRAITEUR;Apéritifs;6445;"NEM CREVETTE X16";20.00;PCE;https://i.postimg.cc/d0drqVZf/6445.png;1880.00;"COTE D'IVOIRE"
TRAITEUR;Apéritifs;6447;"NEM PORC X16";20.00;PCE;https://i.postimg.cc/Jn5XkYqc/6447.png;1880.00;"COTE D'IVOIRE"
TRAITEUR;Apéritifs;6449;"NEM LEGUMES X16";20.00;PCE;https://i.postimg.cc/gjcZqyt9/6449.png;1880.00;"COTE D'IVOIRE"
TRAITEUR;Apéritifs;6450;"NEM POULET X8";20.00;PCE;https://i.postimg.cc/FzPJPfwY/6450.png;980.00;"COTE D'IVOIRE"
TRAITEUR;Pizzas;6480;"VIVAGEL PIZZA BOLOGNAISE 320G";6.00;PCE;https://i.postimg.cc/0Nx2wkHF/6480.png;1830.00;FRANCE
TRAITEUR;Pizzas;6482;"VIVAGEL PIZZA ROYALE 320G";6.00;PCE;https://i.postimg.cc/Prgqdzbt/6482.jpg;1830.00;FRANCE
TRAITEUR;"Plats Cuisinés";3280;"THIRIET ANDOUILLETTES DE TROYES 500G";9.00;PCE;https://i.postimg.cc/28wXdJcg/3280.png;7230.00;FRANCE
