FAMILLE;SOUS-FAMILLE;REFERENCE;DESIGNATION_ARTICLE;CONDITIONNEMENT;UNITE;IMAGE;PRIX;ORIGINE
TRAITEUR;"Plats Cuisinés";6612;"THIRIET TAGLIATELLES CARBONARA 330G";10.00;PCE;https://i.postimg.cc/QCkrs1jM/6612.png;2870.00;FRANCE
TRAITEUR;Snaking;4651;"NUGGET DE POULET 500GR";20.00;PCE;https://i.postimg.cc/26S4DcFL/4651.png;;CHINE
TRAITEUR;Snaking;4652;"STEAK DE POULET PANE 500GR";20.00;PCE;https://i.postimg.cc/rmZ5F1Qn/4652.png;;CHINE
TRAITEUR;Snaking;4766;"PERDIX NUGGET DE POULET 1KG";3.00;PCE;;;BRESIL
